Name,Replicate,Loading,KD (M),Kon (1/Ms),Koff (1/s),Confidence,Binder
Blank,1,0.01,,,,low,none
Blank,2,0.00,,,,low,none
Blank,3,0.01,,,,low,none
Blank,4,0.01,,,,low,none
IL7Ra_binder_design_1,1,4.40,2.15e-05,1.00e+00,2.15e-05,low,weak
IL7Ra_binder_design_10,1,3.37,,,,low,none
IL7Ra_binder_design_11,1,13.50,,,,low,none
IL7Ra_binder_design_12,1,5.78,6.40e-06,1.00e+00,6.40e-06,low,strong
IL7Ra_binder_design_13,1,6.47,,,,low,none
IL7Ra_binder_design_14,1,6.04,> 1e-6,,4.57e-03,low,weak
IL7Ra_binder_design_15,1,4.87,> 1e-6,,4.70e-03,low,weak
IL7Ra_binder_design_17,1,7.98,,,,low,none
IL7Ra_binder_design_2,1,5.67,> 1e-6,,4.12e-03,low,weak
IL7Ra_binder_design_20,1,11.35,1.44e-07,1.69e+04,2.44e-03,high,strong
IL7Ra_binder_design_23,1,4.46,> 1e-6,,,low,weak
IL7Ra_binder_design_26,1,7.52,2.67e-07,1.24e+04,3.31e-03,high,strong
IL7Ra_binder_design_29,1,8.02,3.34e-07,1.66e+04,5.55e-03,high,strong
IL7Ra_binder_design_3,1,2.95,,,,low,none
IL7Ra_binder_design_30,1,16.11,1.30e-07,2.58e+04,3.35e-03,high,strong
IL7Ra_binder_design_31,1,5.46,,,,low,none
IL7Ra_binder_design_33,1,12.94,6.45e-08,9.46e+04,6.10e-03,low,strong
IL7Ra_binder_design_35,1,5.38,6.10e-06,1.00e+00,6.10e-06,low,strong
IL7Ra_binder_design_37,1,8.04,2.38e-07,1.82e+04,4.33e-03,high,strong
IL7Ra_binder_design_4,1,4.18,,,,low,none
IL7Ra_binder_design_45,1,4.89,1.60e-05,1.00e+00,1.60e-05,low,weak
IL7Ra_binder_design_48,1,4.83,1.90e-05,1.00e+00,1.90e-05,low,weak
IL7Ra_binder_design_5,1,3.57,> 1e-6,,4.45e-03,low,weak
IL7Ra_binder_design_52,1,4.04,,,,low,none
IL7Ra_binder_design_53,1,2.54,> 1e-6,,7.80e-03,low,weak
IL7Ra_binder_design_55,1,4.09,4.00e-08,3.06e+04,1.23e-03,high,strong
IL7Ra_binder_design_6,1,2.95,> 1e-6,,3.29e-03,low,weak
IL7Ra_binder_design_61,1,4.17,1.20e-07,3.33e+04,4.01e-03,low,strong
IL7Ra_binder_design_62,1,5.41,9.50e-06,1.00e+00,9.50e-06,low,weak
IL7Ra_binder_design_68,1,5.73,5.32e-08,2.55e+04,1.36e-03,high,strong
IL7Ra_binder_design_7,1,4.26,> 1e-6,,,low,weak
IL7Ra_binder_design_70,1,7.73,8.25e-07,1.44e+04,1.19e-02,low,strong
IL7Ra_binder_design_71,1,7.18,1.79e-07,2.25e+04,4.04e-03,high,strong
IL7Ra_binder_design_74,1,4.08,6.39e-08,2.12e+04,1.35e-03,high,strong
IL7Ra_binder_design_77,1,14.08,> 1e-6,,7.99e-03,low,weak
IL7Ra_binder_design_78,1,6.92,3.61e-07,1.49e+04,5.38e-03,high,strong
IL7Ra_binder_design_8,1,5.57,6.60e-06,1.00e+00,6.60e-06,low,strong
IL7Ra_binder_design_84,1,10.49,> 1e-6,,4.91e-03,low,weak
IL7Ra_binder_design_88,1,8.16,7.71e-08,2.91e+04,2.25e-03,low,strong
IL7Ra_binder_design_9,1,5.84,> 1e-6,,5.96e-03,low,weak
IL7Ra_binder_design_92,1,6.30,9.41e-08,2.00e+04,1.88e-03,high,strong
IL7Ra_binder_design_95,1,4.44,1.75e-06,1.00e+00,1.75e-06,high,strong
